,symbol,profile
exchange,PEG,New York Stock Exchange
industry,PEG,Utilities - Regulated
sector,PEG,Utilities
website,PEG,http://www.pseg.com
ceo,PSA,Ronald L. Havner
companyName,PSA,Public Storage
description,PSA,"Public Storage is a part of the real estate sector. It is engaged in the acquisition, development, ownership and operation of self-storage facilities."
exchange,PSA,New York Stock Exchange
industry,PSA,REITs
sector,PSA,Real Estate
website,PSA,http://www.publicstorage.com
ceo,PHM,Ryan R Marshall
companyName,PHM,PulteGroup Inc.
description,PHM,PulteGroup Inc is engaged in the homebuilding business. Its business includes the acquisition and development of land for residential purposes within the U.S. It is also engaged in mortgage banking operations.
exchange,PHM,New York Stock Exchange
industry,PHM,Homebuilding & Construction
sector,PHM,Consumer Cyclical
website,PHM,http://www.pultegroupinc.com
ceo,PVH,Emanuel Chirico
companyName,PVH,PVH Corp.
description,PVH,"PVH Corp is apparel company, which designs and markets branded dress shirts, neckwear, sportswear, jeanswear, intimate apparel, swim products, handbags, footwear and other related products. Its brands include Tommy Hilfiger and Calvin Klein."
exchange,PVH,New York Stock Exchange
industry,PVH,Manufacturing - Apparel & Furniture
sector,PVH,Consumer Cyclical
website,PVH,http://www.pvh.com
ceo,QRVO,Robert A. Bruggeworth
companyName,QRVO,Qorvo Inc.
description,QRVO,"Qorvo Inc is a semiconductor product manufacturer. It sells its products to companies engaged in the telecommunication, infrastructure and defense industries."
exchange,QRVO,Nasdaq Global Select
industry,QRVO,Semiconductors
sector,QRVO,Technology
website,QRVO,http://www.qorvo.com
ceo,PWR,Earl C. Austin
companyName,PWR,Quanta Services Inc.
description,PWR,Quanta Services Inc is a provider of specialty contracting services. The company offers infrastructure solutions to the electric power and oil and gas industries in North America and in select international markets.
exchange,PWR,New York Stock Exchange
industry,PWR,Engineering & Construction
sector,PWR,Industrials
website,PWR,http://www.quantaservices.com
ceo,QCOM,Steven M. Mollenkopf
companyName,QCOM,QUALCOMM Incorporated
description,QCOM,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors."
exchange,QCOM,Nasdaq Global Select
industry,QCOM,Semiconductors
sector,QCOM,Technology
website,QCOM,http://www.qualcomm.com
ceo,DGX,Stephen H. Rusckowski
companyName,DGX,Quest Diagnostics Incorporated
description,DGX,"Quest Diagnostics Inc provides diagnostic testing, information, and services, providing insights that enable patients and physicians to make healthcare decisions. It provides diagnostics for insurers and healthcare information technology businesses."
exchange,DGX,New York Stock Exchange
industry,DGX,Medical Diagnostics & Research
sector,DGX,Healthcare
website,DGX,http://www.questdiagnostics.com
ceo,RL,Patrice Louvet
companyName,RL,Ralph Lauren Corporation
description,RL,"Ralph Lauren Corp is a fashion apparels manufacturer that designs and distribute lifestyle products including apparel, accessories, home furnishings, and other licensed product categories through department stores, specialty retailers and its own outlets."
exchange,RL,New York Stock Exchange
industry,RL,Manufacturing - Apparel & Furniture
sector,RL,Consumer Cyclical
website,RL,http://www.ralphlauren.com
ceo,RJF,Paul C. Reilly
companyName,RJF,Raymond James Financial Inc.
description,RJF,"Raymond James Financial Inc is a diversified financial services company providing private client group, capital markets, asset management, banking and other services to individuals, corporations and municipalities."
exchange,RJF,New York Stock Exchange
industry,RJF,Brokers & Exchanges
sector,RJF,Financial Services
website,RJF,http://www.raymondjames.com
ceo,RTN,Thomas Kennedy
companyName,RTN,Raytheon Company
description,RTN,"Raytheon Co offers contractual services to the US defense sector. It operates through five segments: Integrated Defense Systems, Intelligence and Information, Missile Systems, Space and Airborne Systems, and Forcepoint."
exchange,RTN,New York Stock Exchange
industry,RTN,Aerospace & Defense
sector,RTN,Industrials
website,RTN,http://www.raytheon.com
ceo,O,John P. Case
companyName,O,Realty Income Corporation
description,O,"Realty Income Corp owns, manages and leases over 5,000 properties across U.S and Puerto Rico. It operates a diversified portfolio of properties that includes commercial, manufacturing and distribution facilities."
exchange,O,New York Stock Exchange
industry,O,REITs
sector,O,Real Estate
website,O,http://www.realtyincome.com
ceo,REG,Martin E. Stein
companyName,REG,Regency Centers Corporation
description,REG,"Regency Centers Corp is a real estate investment trust and is a grocery-anchored shopping center company. It leases space in its shopping centers to grocery stores, retail anchors, restaurants, side-shop retailers, and service providers."
exchange,REG,New York Stock Exchange
industry,REG,REITs
sector,REG,Real Estate
website,REG,http://www.regencycenters.com
ceo,REGN,Leonard S. Schleifer
companyName,REGN,Regeneron Pharmaceuticals Inc.
description,REGN,"Regeneron Pharmaceuticals Inc is an integrated biopharmaceutical company. It discovers, invents, develops, manufactures, and commercializes medicines for the treatment of serious medical conditions."
exchange,REGN,Nasdaq Global Select
industry,REGN,Biotechnology
sector,REGN,Healthcare
website,REGN,http://www.regeneron.com
ceo,RF,O. B. Grayson Hall
companyName,RF,Regions Financial Corporation
description,RF,"Regions Financial Corp is a regional bank headquartered in Alabama, with branches primarily in the southeastern and midwestern United States. It provides banking and bank-related services to individual and corporate customers."
exchange,RF,New York Stock Exchange
industry,RF,Banks
sector,RF,Financial Services
website,RF,http://www.regions.com
ceo,RSG,Donald W. Slager
companyName,RSG,Republic Services Inc.
description,RSG,"Republic Services Inc is the provider of solid waste management services in the United States. In addition, the company operates landfill gas-to-energy projects, as well as an exploration and production waste business."
exchange,RSG,New York Stock Exchange
industry,RSG,Waste Management
sector,RSG,Industrials
website,RSG,http://www.republicservices.com
ceo,RMD,Michael J. Farrell
companyName,RMD,ResMed Inc.
description,RMD,ResMed Inc is a part of the healthcare sector. It develops and distributes medical products for treating and diagnosing respiratory disorders.
exchange,RMD,New York Stock Exchange
industry,RMD,Medical Instruments & Equipment
sector,RMD,Healthcare
website,RMD,http://www.resmed.com
ceo,RHI,Harold M. Messmer
companyName,RHI,Robert Half International Inc.
description,RHI,"Robert Half International Inc is a staffing agency providing specialized staffing and risk consulting services through divisions such as Accountemps, Robert Half Finance & Accounting, OfficeTeam, Robert Half Technology, and others."
exchange,RHI,New York Stock Exchange
industry,RHI,Employment Services
sector,RHI,Industrials
website,RHI,http://www.roberthalf.com
ceo,ROK,Blake D. Moret
companyName,ROK,Rockwell Automation Inc.
description,ROK,Rockwell Automation Inc engages in providing industrial automation and information solutions to make its customers more productive and the world more sustainable. It operates in two segments: architecture and software and control products and solutions.
exchange,ROK,New York Stock Exchange
industry,ROK,Industrial Products
sector,ROK,Industrials
website,ROK,http://www.rockwellautomation.com
ceo,ROL,Gary W. Rollins
companyName,ROL,Rollins Inc.
description,ROL,Rollins Inc offers pest and termite control services to residential and commercial customers in North America with international franchises in Central America and others. The company operates in one business segment that is Pest and Termite Control.
exchange,ROL,New York Stock Exchange
industry,ROL,Business Services
sector,ROL,Industrials
website,ROL,http://www.rollins.com
ceo,ROP,Brian D. Jellison
companyName,ROP,Roper Technologies Inc.
description,ROP,"Roper Technologies Inc is a diversified technology company. The firm offers industrial pumps, water meters, sensors, valves, control systems, highway tolling systems and SaaS brokerage for freight and food markets, digital imaging, and software systems."
exchange,ROP,New York Stock Exchange
industry,ROP,Industrial Products
sector,ROP,Industrials
website,ROP,http://www.ropertech.com
ceo,ROST,Barbara Rentler
companyName,ROST,Ross Stores Inc.
description,ROST,"Ross Stores Inc is the off-price apparel and home fashion chains which is engaged in selling name-brand and designer apparel, accessories, footwear, and home fashions to middle-income consumers."
exchange,ROST,Nasdaq Global Select
industry,ROST,Retail - Apparel & Specialty
sector,ROST,Consumer Cyclical
website,ROST,http://www.rossstores.com
ceo,RCL,Richard D. Fain
companyName,RCL,Royal Caribbean Cruises Ltd.
description,RCL,"Royal Caribbean Cruises Ltd is a global cruise company. It owns and operates three global cruise brands: Royal Caribbean International, Celebrity Cruises and Azamara Club Cruises."
exchange,RCL,New York Stock Exchange
industry,RCL,Travel & Leisure
sector,RCL,Consumer Cyclical
website,RCL,http://www.rclcorporate.com
ceo,CRM,Marc Benioff
companyName,CRM,Salesforce.com Inc
description,CRM,"Salesforce.com Inc is a software-as-a-service company that provides enterprise cloud computing solutions, offering social and mobile cloud apps and platform services, as well as professional services to facilitate the adoption of its solutions."
exchange,CRM,New York Stock Exchange
industry,CRM,Application Software
sector,CRM,Technology
website,CRM,http://www.salesforce.com
ceo,SBAC,Jeffrey A. Stoops
companyName,SBAC,SBA Communications Corporation
description,SBAC,"SBA Communications Corp is an independent owner and operator of wireless communications towers in the United States, Brazil, Puerto Rico, Canada, and Central America."
exchange,SBAC,Nasdaq Global Select
industry,SBAC,Communication Services
sector,SBAC,Communication Services
website,SBAC,http://www.sbasite.com
ceo,SLB,Paal Kibsgaard
companyName,SLB,Schlumberger N.V.
description,SLB,"Schlumberger Ltd is a supplier of products and services to the oil and gas industry. It provides technology for reservoir characterization, drilling, production, and processing to the oil and gas industry."
exchange,SLB,New York Stock Exchange
industry,SLB,Oil & Gas - Services
sector,SLB,Energy
website,SLB,http://www.slb.com
ceo,STX,
companyName,STX,Seagate Technology PLC
description,STX,"Seagate Technology PLC is a producer of hard disk drives (HDD) globally. It designs, develops, and manufactures a broad range of HDDs used in desktop PC, notebook PC, game consoles, digital video recorders, and enterprise storage markets."
exchange,STX,Nasdaq Global Select
industry,STX,Computer Hardware
sector,STX,Technology
website,STX,http://www.seagate.com
ceo,SEE,Edward L. Doheny
companyName,SEE,Sealed Air Corporation
description,SEE,"Sealed Air Corp is engaged in three reporting segments, Food care, Diversey Care and Product care. It mainly provides cleaning, sanitation, and housekeeping solutions to the food service industry."
exchange,SEE,New York Stock Exchange
industry,SEE,Packaging & Containers
sector,SEE,Consumer Cyclical
website,SEE,http://www.sealedair.com
ceo,SRE,Debra L. Reed
companyName,SRE,Sempra Energy
description,SRE,"Sempra Energy is engaged in distributing natural gas and electricity in Southern California. Its non-California affiliates operates merchant gas and renewable power plants, LNG facilities and gas pipes and storage, as well as gas and electric utilities."
exchange,SRE,New York Stock Exchange
industry,SRE,Utilities - Regulated
sector,SRE,Utilities
website,SRE,http://www.sempra.com
ceo,NOW,John J. Donahoe
companyName,NOW,ServiceNow Inc.
description,NOW,"ServiceNow Inc provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations in North America, Europe, the Middle East, Africa, the Asia Pacific, and other countries."
exchange,NOW,New York Stock Exchange
industry,NOW,Application Software
sector,NOW,Technology
website,NOW,http://www.servicenow.com
ceo,SHW,John G. Morikis
companyName,SHW,Sherwin-Williams Company (The)
description,SHW,"Sherwin-Williams Co provides architectural paint and paint related products; and provides coatings for original-equipment manufacturers. It conducts its operations in North and South America, the Caribbean region, Europe, Asia, and Australia."
exchange,SHW,New York Stock Exchange
industry,SHW,Building Materials
sector,SHW,Basic Materials
website,SHW,http://www.sherwin.com
ceo,SPG,David Simon
companyName,SPG,Simon Property Group Inc.
description,SPG,"Simon Property Group Inc is real estate investment trust. It owns, develops and manages retail real estate properties including malls, outlets and community and lifestyle centers."
exchange,SPG,New York Stock Exchange
industry,SPG,REITs
sector,SPG,Real Estate
website,SPG,http://www.simon.com
ceo,SWKS,
companyName,SWKS,Skyworks Solutions Inc.
description,SWKS,"Skyworks Solutions Inc is engaged in producing semiconductors for wireless handsets that are used to enable wireless connectivity. Its products include power amplifiers, filters, and integrated front-end modules."
exchange,SWKS,Nasdaq Global Select
industry,SWKS,Semiconductors
sector,SWKS,Technology
website,SWKS,http://www.skyworksinc.com
ceo,SLG,Marc Holliday
companyName,SLG,SL Green Realty Corporation
description,SLG,"SL Green Realty Corp is a self-managed real estate investment trust which is engaged in the management, acquisition, development, and leasing of property. The company generates its revenue from tenant rents, escalations, and reimbursement."
exchange,SLG,New York Stock Exchange
industry,SLG,REITs
sector,SLG,Real Estate
website,SLG,http://www.slgreen.com
ceo,SNA,Nicholas T. Pinchuk
companyName,SNA,Snap-On Incorporated
description,SNA,"Snap-on Inc manufactures and markets tools, equipment, diagnostics, repair information and systems solutions for professional users. The product range consists of hand and power tools, tool storage, fuel and engine systems, and hand-held diagnostics."
exchange,SNA,New York Stock Exchange
industry,SNA,Industrial Products
sector,SNA,Industrials
website,SNA,http://www.snapon.com
ceo,SO,Thomas A. Fanning
companyName,SO,Southern Company (The)
description,SO,"Southern Co is an electricity generating company. It develops, constructs, acquires, owns, and manages generation assets, including renewable energy projects, and sells electricity at market-based rates in the wholesale market."
exchange,SO,New York Stock Exchange
industry,SO,Utilities - Regulated
sector,SO,Utilities
website,SO,http://www.southerncompany.com
ceo,LUV,Gary C. Kelly
companyName,LUV,Southwest Airlines Company
description,LUV,Southwest Airlines Co is one of largest domestic carrier in the United States. The company operates approximately 700 aircraft constituting an all-Boeing fleet and specializes in short-haul flights and several international locations.
exchange,LUV,New York Stock Exchange
industry,LUV,Airlines
sector,LUV,Industrials
website,LUV,http://www.southwest.com
ceo,SPGI,Douglas Peterson
companyName,SPGI,S&P Global Inc.
description,SPGI,"S&P Global Inc, together with its subsidiaries is a benchmarks and ratings, analytics, data and research provider serving the capital, commodities and commercial markets."
exchange,SPGI,New York Stock Exchange
industry,SPGI,Business Services
sector,SPGI,Industrials
website,SPGI,https://www.spglobal.com
ceo,SWK,James M. Loree
companyName,SWK,Stanley Black & Decker Inc.
description,SWK,"Stanley Black & Decker Inc provides hand tools, power tools and accessories, mechanical access solutions, electronic security and monitoring systems, healthcare solutions, engineered fastening systems and products for various industrial applications."
exchange,SWK,New York Stock Exchange
industry,SWK,Industrial Products
sector,SWK,Industrials
website,SWK,http://www.stanleyblackanddecker.com
ceo,SBUX,Kevin R. Johnson
companyName,SBUX,Starbucks Corporation
description,SBUX,"Starbucks Corp is the roaster, marketer and retailer of specialty coffee in the world, operating globally. It sells a variety of coffee and tea products. It sells goods and services under brands including Teavana, Tazo, and Seattle's Best Coffee."
exchange,SBUX,Nasdaq Global Select
industry,SBUX,Restaurants
sector,SBUX,Consumer Cyclical
website,SBUX,http://www.starbucks.com
ceo,STT,Joseph Hooley
companyName,STT,State Street Corporation
description,STT,"State Street Corporation is a financial holding company operating through Investment Servicing and Investment Management business. It provides services to mutual funds, corporate and public retirement plans, insurance companies, foundations, endowments."
exchange,STT,New York Stock Exchange
industry,STT,Asset Management
sector,STT,Financial Services
website,STT,http://www.statestreet.com
ceo,SYK,Kevin A. Lobo
companyName,SYK,Stryker Corporation
description,SYK,"Stryker Corp is engaged in designing, manufacturing and marketing of medical equipment, instruments, and implantable devices. Its products include hip and knee replacements, endoscopy systems, operating room equipment, embolic coils, and spinal devices."
exchange,SYK,New York Stock Exchange
industry,SYK,Medical Devices
sector,SYK,Healthcare
website,SYK,http://www.stryker.com
ceo,STI,William H. Rogers
companyName,STI,SunTrust Banks Inc.
description,STI,"SunTrust Banks Inc is engaged in commercial, corporate, and retail banking operations. It provides financial services to consumer, business and corporate clients. Most SunTrust's deposits are in Southeastern U.S. states and the District of Columbia."
exchange,STI,New York Stock Exchange
industry,STI,Banks
sector,STI,Financial Services
website,STI,http://www.suntrust.com
ceo,SIVB,Gregory W. Becker
companyName,SIVB,SVB Financial Group
description,SIVB,"SVB Financial Group provides a diverse set of banking and financial products and services including asset management, private wealth management, brokerage and other investment services."
exchange,SIVB,Nasdaq Global Select
industry,SIVB,Banks
sector,SIVB,Financial Services
website,SIVB,http://www.svb.com
ceo,SYF,Margaret M. Keane
companyName,SYF,Synchrony Financial
description,SYF,"Synchrony Financial provides consumer financial products services to the diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations and healthcare service providers."
exchange,SYF,New York Stock Exchange
industry,SYF,Credit Services
sector,SYF,Financial Services
website,SYF,https://www.synchronyfinancial.com
ceo,SNPS,Aart J. De Geus / Chi-Foon Chan
companyName,SNPS,Synopsys Inc.
description,SNPS,Synopsys Inc is a software development company. It supplies electronic design automation software used by engineers to design and test integrated circuits. It provides software and hardware used to develop the electronic systems that incorporate chips.
exchange,SNPS,Nasdaq Global Select
industry,SNPS,Application Software
sector,SNPS,Technology
website,SNPS,http://www.synopsys.com
ceo,SYY,Thomas L. Bene
companyName,SYY,Sysco Corporation
description,SYY,Sysco Corp is in the business of food distribution. Its primary business involves the distribution of food and related products to the foodservice or food-away-from-home industry.
exchange,SYY,New York Stock Exchange
industry,SYY,Retail - Defensive
sector,SYY,Consumer Defensive
website,SYY,http://www.sysco.com
ceo,TMUS,John J. Legere
companyName,TMUS,T-Mobile US Inc.
description,TMUS,"T-Mobile US Inc is a US-based wireless company which provides wireless communications services, including voice, messaging and data in the postpaid, prepaid and wholesale markets. It also provides wireless devices and accessories."
exchange,TMUS,Nasdaq Global Select
industry,TMUS,Communication Services
sector,TMUS,Communication Services
website,TMUS,http://www.t-mobile.com
ceo,TROW,William J. Stromberg
companyName,TROW,T. Rowe Price Group Inc.
description,TROW,"T. Rowe Price Group Inc is a financial services holding company. It provides company sponsored U.S. mutual funds, other sponsored pooled investment vehicles, subadvisory services, separate account management, recordkeeping, and related services."
exchange,TROW,Nasdaq Global Select
industry,TROW,Asset Management
sector,TROW,Financial Services
website,TROW,http://www.troweprice.com
ceo,TTWO,
companyName,TTWO,Take-Two Interactive Software Inc.
description,TTWO,"Take-Two Interactive Software Inc is a developer, marketer and publisher of interactive entertainment for consumers around the globe. It develops and publishes products through its two wholly-owned labels Rockstar Games and 2K."
exchange,TTWO,Nasdaq Global Select
industry,TTWO,Application Software
sector,TTWO,Technology
website,TTWO,http://www.take2games.com
ceo,TPR,Victor Luis
companyName,TPR,Tapestry Inc.
description,TPR,"Tapestry Inc functions in the luxury goods industry. Its products include women's and men's bags, accessories, business cases, footwear, wearables and jewelry."
exchange,TPR,New York Stock Exchange
industry,TPR,Retail - Apparel & Specialty
sector,TPR,Consumer Cyclical
website,TPR,http://www.tapestry.com
ceo,TGT,Brian C. Cornell
companyName,TGT,Target Corporation
description,TGT,Target Corp is one of the largest department store retailer in North America. It is engaged in operating general merchandise discount stores.
exchange,TGT,New York Stock Exchange
industry,TGT,Retail - Defensive
sector,TGT,Consumer Defensive
website,TGT,http://www.targetcorp.com
ceo,TEL,
companyName,TEL,TE Connectivity Ltd. New Switzerland Registered Shares
description,TEL,"TE Connectivity Ltd is an electronic component producer. The company manufactures and designs products such as antennas, cable assemblies, fiber optics, sensors, relays and switches that are used in various application."
exchange,TEL,New York Stock Exchange
industry,TEL,Computer Hardware
sector,TEL,Technology
website,TEL,http://www.te.com
ceo,FTI,Douglas Pferdehirt
companyName,FTI,TechnipFMC plc
description,FTI,TechnipFMC PLC is an oil and gas engineering and construction firm. The company owns a large fleet of vessels used to install offshore pipelines. It also provides onshore and offshore services for various projects.
exchange,FTI,New York Stock Exchange
industry,FTI,Oil & Gas - Services
sector,FTI,Energy
website,FTI,http://www.technipfmc.com
ceo,TFX,Liam J. Kelly
companyName,TFX,Teleflex Incorporated
description,TFX,"Teleflex Inc designs, develops, manufactures and supplies single-use medical devices used by hospitals and healthcare providers for common diagnostic and therapeutic procedures in critical care and surgical applications."
exchange,TFX,New York Stock Exchange
industry,TFX,Medical Devices
sector,TFX,Healthcare
website,TFX,http://www.teleflex.com
ceo,TXN,Richard K. Templeton
companyName,TXN,Texas Instruments Incorporated
description,TXN,"Texas Instruments Inc designs and makes semiconductors that it sells to electronics designers and manufacturers. It also manufactures digital signal processors used in wireless communications, and microcontrollers used in various electronics applications."
exchange,TXN,Nasdaq Global Select
industry,TXN,Semiconductors
sector,TXN,Technology
website,TXN,http://www.ti.com
ceo,TXT,Scott C. Donnelly
companyName,TXT,Textron Inc.
description,TXT,"Textron Inc is engaged in the aerospace industry. Its primary products include aircraft and related defense equipment. Its segments include Textron Aviation, Bell, Textron Systems and Industrial, and Finance."
exchange,TXT,New York Stock Exchange
industry,TXT,Aerospace & Defense
sector,TXT,Industrials
website,TXT,http://www.textron.com
ceo,TMO,Marc N. Casper
companyName,TMO,Thermo Fisher Scientific Inc
description,TMO,"Thermo Fisher Scientific Inc is a healthcare company. It offers analytical instruments, laboratory equipment, software, services, consumables, reagents and chemicals."
exchange,TMO,New York Stock Exchange
industry,TMO,Medical Diagnostics & Research
sector,TMO,Healthcare
website,TMO,http://www.thermofisher.com
ceo,TIF,Alessandro Bogliolo
companyName,TIF,Tiffany & Co.
description,TIF,"Tiffany & Co functions in the luxury goods market. As a retailer of jewelry, it sells timepieces, sterling silver goods, china, crystal and accessories."
exchange,TIF,New York Stock Exchange
industry,TIF,Retail - Apparel & Specialty
sector,TIF,Consumer Cyclical
website,TIF,http://www.tiffany.com
ceo,TWTR,Jack Dorsey
companyName,TWTR,Twitter Inc.
description,TWTR,"Twitter Inc is a social networking platform for public self-expression and conversation in real time. Its services are live, which includes live commentary, live connections, and live conversations. It generates a majority of its revenue from advertising."
exchange,TWTR,New York Stock Exchange
industry,TWTR,Online Media
sector,TWTR,Technology
website,TWTR,https://www.twitter.com
ceo,TJX,Ernie L. Herrman
companyName,TJX,TJX Companies Inc. (The)
description,TJX,"TJX Companies Inc is an off-price apparel and home fashions retailer in the United States and other countries. Its stores offer family apparel, including footwear and accessories, home fashions, such as home basics, accent furniture, lamps, among others."
exchange,TJX,New York Stock Exchange
industry,TJX,Retail - Apparel & Specialty
sector,TJX,Consumer Cyclical
website,TJX,http://www.tjx.com
ceo,TSCO,Gregory A. Sandfort
companyName,TSCO,Tractor Supply Company
description,TSCO,Tractor Supply Co is an operator of rural lifestyle retail stores in the United States. It is engaged in supplying the needs of recreational farmers and ranchers as well as tradesmen and small businesses.
exchange,TSCO,Nasdaq Global Select
industry,TSCO,Retail - Apparel & Specialty
sector,TSCO,Consumer Cyclical
website,TSCO,http://www.tractorsupplyco.com
ceo,TDG,W. Nicholas Howley
companyName,TDG,Transdigm Group Incorporated Inc.
description,TDG,"TransDigm Group Inc is a designer, producer and supplier of engineered aircraft components for use on commercial and military aircraft in service."
exchange,TDG,New York Stock Exchange
industry,TDG,Aerospace & Defense
sector,TDG,Industrials
website,TDG,http://www.transdigm.com
ceo,TRV,Alan D. Schnitzer
companyName,TRV,The Travelers Companies Inc.
description,TRV,"The Travelers Companies Inc operates in property and casualty insurance industry. Its operations are divided into three segments: Business Insurance, Bond & Specialty Insurance and Personal Insurance."
exchange,TRV,New York Stock Exchange
industry,TRV,Insurance - Property & Casualty
sector,TRV,Financial Services
website,TRV,https://www.travelers.com
ceo,TRIP,Stephen Kaufer
companyName,TRIP,TripAdvisor Inc.
description,TRIP,"TripAdvisor Inc provides travel related services. Its website offers reviews on restaurants, hotels and tourist destinations. It secures revenue from providing advertisement space on its website as well as through commissions on bookings."
exchange,TRIP,Nasdaq Global Select
industry,TRIP,Travel & Leisure
sector,TRIP,Consumer Cyclical
website,TRIP,http://www.tripadvisor.com
ceo,TSN,
companyName,TSN,Tyson Foods Inc.
description,TSN,"Tyson Foods Inc processes and distributes value-added beef, chicken pork, prepared foods and related allied products, including animal and pet food ingredients. Its product brands are Wright, Jimmy Dean, Hillshire Farm, Ball Park and Sara Lee."
exchange,TSN,New York Stock Exchange
industry,TSN,Consumer Packaged Goods
sector,TSN,Consumer Defensive
website,TSN,http://www.tysonfoodsinc.com
ceo,UDR,Thomas W. Toomey
companyName,UDR,UDR Inc.
description,UDR,"UDR Inc is a self-administered real estate investment trust. It owns, acquires, renovates, develops and manages apartment communities."
exchange,UDR,New York Stock Exchange
industry,UDR,REITs
sector,UDR,Real Estate
website,UDR,http://www.udr.com
ceo,ULTA,Mary N. Dillon
companyName,ULTA,Ulta Beauty Inc.
description,ULTA,"Ulta Beauty Inc operates as a beauty retailer in the United States. It offers cosmetics, fragrance, skin, hair care products and salon services."
exchange,ULTA,Nasdaq Global Select
industry,ULTA,Retail - Apparel & Specialty
sector,ULTA,Consumer Cyclical
website,ULTA,http://www.ulta.com
ceo,USB,Andrew Cecere
companyName,USB,U.S. Bancorp
description,USB,"US Bancorp is a multi-state financial holding company. It offers financial services such as lending and depository service, cash management, foreign exchange and trust and investment management services."
exchange,USB,New York Stock Exchange
industry,USB,Banks
sector,USB,Financial Services
website,USB,https://www.usbank.com
ceo,UAA,Kevin A. Plank
companyName,UAA,Under Armour Inc. Class A
description,UAA,"Under Armour Inc is a developer, marketer and distributor of branded performance apparel, footwear and accessories for men, women and youth. It markets its products under the brand name of Under Armour, Heatgear, Coldgear, and Allseasongear."
exchange,UAA,New York Stock Exchange
industry,UAA,Manufacturing - Apparel & Furniture
sector,UAA,Consumer Cyclical
website,UAA,http://www.underarmour.com
ceo,UA,Kevin A. Plank
companyName,UA,Under Armour Inc. Class C
description,UA,"Under Armour Inc is a developer, marketer and distributor of branded performance apparel, footwear and accessories for men, women and youth. It markets its products under the brand name of Under Armour, Heatgear, Coldgear, and Allseasongear."
exchange,UA,New York Stock Exchange
industry,UA,Manufacturing - Apparel & Furniture
sector,UA,Consumer Cyclical
website,UA,http://www.underarmour.com
ceo,UNP,Lance M. Fritz
companyName,UNP,Union Pacific Corporation
description,UNP,"Union Pacific Corp belongs to the rail transport industry. It provides railroad freight transportation services in North America. It transports coal, rocks, soda ash, and grains."
exchange,UNP,New York Stock Exchange
industry,UNP,Transportation & Logistics
sector,UNP,Industrials
website,UNP,http://www.up.com
ceo,UAL,Oscar Munoz
companyName,UAL,United Continental Holdings
description,UAL,United Continental Holdings Inc is a holding company. It transports people and cargo through its mainline and regional operations.
exchange,UAL,New York Stock Exchange
industry,UAL,Airlines
sector,UAL,Industrials
website,UAL,http://www.unitedcontinentalholdings.com
ceo,UNH,David S. Wichmann
companyName,UNH,UnitedHealth Group Incorporated (DE)
description,UNH,"UnitedHealth Group Inc is a diversified health care company in the United States. It designs products, provides services and applies technologies that improve access to health and well-being services, and make health care more affordable."
exchange,UNH,New York Stock Exchange
industry,UNH,Health Care Plans
sector,UNH,Healthcare
website,UNH,http://www.unitedhealthgroup.com
ceo,UPS,David P. Abney
companyName,UPS,United Parcel Service Inc.
description,UPS,"United Parcel Service Inc is a package delivery organization and provider of supply chain management solutions. Its services include transportation, distribution, contract logistics, ground freight, ocean freight, air freight, insurance and financing."
exchange,UPS,New York Stock Exchange
industry,UPS,Transportation & Logistics
sector,UPS,Industrials
website,UPS,http://www.ups.com
ceo,URI,Michael J. Kneeland
companyName,URI,United Rentals Inc.
description,URI,"United Rentals Inc operates in the rental and leasing industry. It provides equipment on rent to construction and industrial companies, manufacturers, utilities, municipalities, homeowners, government entities."
exchange,URI,New York Stock Exchange
industry,URI,Consulting & Outsourcing
sector,URI,Industrials
website,URI,http://www.unitedrentals.com
ceo,UTX,Gregory J. Hayes
companyName,UTX,United Technologies Corporation
description,UTX,United Technologies Corp is a diversified industrial conglomerate. It provides high technology products and services to the building systems and aerospace industries.
exchange,UTX,New York Stock Exchange
industry,UTX,Aerospace & Defense
sector,UTX,Industrials
website,UTX,http://www.utc.com
ceo,UHS,Alan B. Miller
companyName,UHS,Universal Health Services Inc.
description,UHS,"Universal Health Services Inc owns and operates acute care hospitals, behavior health centers, surgical hospitals, ambulatory surgery centers, and radiation oncology centers."
exchange,UHS,New York Stock Exchange
industry,UHS,Health Care Providers
sector,UHS,Healthcare
website,UHS,http://www.uhsinc.com
ceo,UNM,
companyName,UNM,Unum Group
description,UNM,Unum Group is a financial services provider. Its services include insurance and non-insurance products and services.
exchange,UNM,New York Stock Exchange
industry,UNM,Insurance - Life
sector,UNM,Financial Services
website,UNM,http://www.unum.com
ceo,VFC,Steven Rendle
companyName,VFC,V.F. Corporation
description,VFC,"VF Corp owns a large portfolio of lifestyle brands including The North Face, Timberland, Vans, Lee, Wrangler, Nautica, and others. The company offers product into outdoor and action sports, jeanswear, imagewear, and sportswear."
exchange,VFC,New York Stock Exchange
industry,VFC,Manufacturing - Apparel & Furniture
sector,VFC,Consumer Cyclical
website,VFC,http://www.vfc.com
ceo,VLO,Joseph W. Gorder
companyName,VLO,Valero Energy Corporation
